Brand,Operating System,RAM Type,RAM Size,Disc Type,Disc Size,MRP
acer,64 bit Windows 10,DDR4,16GB,HDD,1TB,96490
Infinix,64 bit Windows 11,LPDDR4X,16GB,SSD,512GB,37990
ASUS,Windows 11,DDR4,16GB,SSD,1TB,85990
MSI,64 bit Windows 10,LPDDR4X,16GB,SSD,512GB,74990
ASUS,64 bit Windows 10,DDR4,8GB,SSD,512GB,51990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,256GB,36990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,39990
ASUS,64 bit Windows 10,DDR4,8GB,HDD,1TB,71345
ASUS,64 bit Windows 10,DDR4,16GB,SSD,1TB,101490
MSI,64 bit Windows 11,DDR5,32GB,SSD,1TB,274990
ASUS,64 bit Windows 11,DDR5,16GB,SSD,1TB,199990
RedmiBook,Windows 11,DDR4,8GB,SSD,512GB,39990
ASUS,Windows 11,DDR5,16GB,SSD,1TB,196990
DELL,64 bit Windows 10,DDR4,8GB,SSD,256GB,41090
Lenovo,64 bit Windows 10,DDR4,8GB,SSD,256GB,50499
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,38705
ASUS,Windows 11,DDR4,16GB,SSD,1TB,85990
HP,64 bit Windows 11,DDR4,8GB,SSD,512GB,78950
Lenovo,64 bit Windows 11,LPDDR4X,16GB,SSD,512GB,67990
ASUS,64 bit Windows 11,DDR4,16GB,SSD,1TB,187990
Lenovo,64 bit Windows 10,DDR4,16GB,SSD,1TB,102990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,35590
ASUS,Windows 11,DDR4,16GB,SSD,1TB,150990
ASUS,64 bit DOS,DDR4,4GB,SSD,256GB,35990
HP,64 bit Windows 10,DDR4,8GB,SSD,512GB,52575
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,73490
ASUS,64 bit Windows 11,DDR5,16GB,SSD,1TB,194990
DELL,64 bit Windows 11,DDR4,8GB,SSD,512GB,50990
Lenovo,Windows 10,DDR4,16GB,SSD,512GB,60125
Lenovo,64 bit Windows 10,DDR4,4GB,SSD,256GB,26490
HP,64 bit Windows 11,DDR4,8GB,SSD,512GB,80249
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,256GB,36990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,39990
acer, Windows 1064 bit Windows 10,DDR4,8GB,HDD,1TB,129999
ASUS,64 bit Windows 10,DDR4,8GB,SSD,1TB,76990
RedmiBook,Windows 11,DDR4,8GB,SSD,512GB,39990
ASUS,Windows 11,DDR5,16GB,SSD,1TB,196990
ASUS,64 bit Windows 10,DDR4,8GB,SSD,512GB,36990
MSI,64 bit Windows 10,DDR4,16GB,SSD,512GB,107790
DELL,64 bit Windows 11,DDR4,16GB,SSD,512GB,75990
ASUS,64 bit Windows 10,LPDDR4X,16GB,SSD,512GB,95990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,38705
ASUS,Windows 11,DDR4,16GB,SSD,1TB,85990
acer,64 bit Windows 11,DDR4,8GB,SSD,512GB,61999
HP,64 bit Windows 11,DDR4,8GB,SSD,256GB,28990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,35590
ASUS,Windows 11,DDR4,16GB,SSD,1TB,150990
Lenovo,64 bit Windows 10,DDR4,8GB,SSD,512GB,54990
ASUS,Windows 11,DDR4,16GB,SSD,512GB,56990
ASUS,Windows 11,DDR4,8GB,SSD,256GB,45990
ASUS,64 bit Windows 11,DDR4,8GB,SSD,512GB,38216
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,256GB,36990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,39990
MSI,64 bit Windows 11,DDR4,8GB,SSD,512GB,79990
DELL,Windows 10,DDR4,4GB,HDD,1TB,43990
RedmiBook,Windows 11,DDR4,8GB,SSD,512GB,39990
ASUS,Windows 11,DDR5,16GB,SSD,1TB,196990
HP,64 bit Windows 11,DDR4,16GB,SSD,1TB,108250
ASUS,64 bit Windows 10,DDR4,4GB,HDD,1TB,28990
MSI,64 bit Windows 11,DDR5,32GB,SSD,2TB,389990
DELL,64 bit Windows 11,DDR4,16GB,SSD,512GB,67224
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,38705
ASUS,Windows 11,DDR4,16GB,SSD,1TB,85990
acer,64 bit Windows 10,DDR4,16GB,HDD,1TB,114990
ASUS,64 bit Windows 10,DDR4,4GB,HDD,1TB,61249
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,35590
ASUS,Windows 11,DDR4,16GB,SSD,1TB,150990
HP,64 bit Windows 11,DDR4,16GB,SSD,512GB,69990
Lenovo,64 bit DOS,DDR4,8GB,SSD,512GB,69990
Lenovo,64 bit Windows 11,DDR4,16GB,SSD,512GB,79990
Lenovo,64 bit Windows 10,DDR4,8GB,SSD,256GB,37990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,73490
ASUS,64 bit Windows 11,DDR5,16GB,SSD,1TB,194990
Infinix,64 bit Windows 11,LPDDR4X,8GB,SSD,512GB,36990
ASUS,64 bit Windows 11,DDR4,4GB,SSD,128GB,29980
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,256GB,36990
RedmiBook,Windows 11,DDR4,8GB,SSD,512GB,39990
ASUS,64 bit Windows 10,LPDDR4X,16GB,SSD,512GB,95990
DELL,64 bit Windows 11,DDR4,8GB,SSD,512GB,41600
DELL,64 bit Windows 11,DDR4,16GB,SSD,512GB,67224
ASUS,64 bit Windows 11,DDR4,8GB,SSD,512GB,61986
ASUS,Windows 11,DDR5,16GB,SSD,1TB,196990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,38705
ASUS,64 bit Windows 10,DDR4,4GB,HDD,1TB,61249
HP,64 bit Windows 11,DDR4,8GB,SSD,256GB,38999
ASUS,Windows 11,DDR4,16GB,SSD,1TB,85990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,35590
Lenovo,Windows 11,DDR4,4GB,SSD,256GB,31990
Lenovo,64 bit Windows 10,DDR4,8GB,SSD,256GB,37990
ASUS,64 bit Windows 11,DDR4,4GB,SSD,128GB,29980
ASUS,64 bit Windows 11,DDR4,8GB,SSD,512GB,46990
ASUS,Windows 11,DDR4,16GB,SSD,1TB,150990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,73490
Infinix,64 bit Windows 11,LPDDR4X,8GB,SSD,512GB,37990
Infinix,64 bit Windows 11,LPDDR4X,8GB,SSD,512GB,36990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,39990
ASUS,64 bit Windows 11,DDR5,16GB,SSD,1TB,194990
acer,64 bit Windows 10,DDR4,8GB,HDD,1TB,61490
HP,64 bit Windows 10,DDR4,16GB,SSD,1TB,109990
HP,64 bit Windows 11,DDR4,8GB,SSD,512GB,54990
Lenovo,64 bit Windows 10,DDR4,8GB,SSD,512GB,50990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,256GB,36990
RedmiBook,Windows 11,DDR4,8GB,SSD,512GB,39990
MSI,64 bit Windows 10,DDR4,8GB,HDD,1TB,62190
ASUS,64GB EMMC,LPDDR4,4GB,,,24390
ASUS,Windows 11,DDR5,16GB,SSD,1TB,196990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,38705
Lenovo,64 bit Windows 11,DDR4,8GB,HDD,1TB,36990
HP,64 bit Windows 10,DDR4,16GB,SSD,1TB,159990
ASUS,64 bit Windows 11,DDR4,4GB,SSD,256GB,34490
ASUS,Windows 11,DDR4,16GB,SSD,512GB,99990
ASUS,Windows 11,DDR4,16GB,SSD,1TB,85990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,35590
ASUS,64 bit Windows 11,LPDDR4X,8GB,SSD,512GB,79990
Infinix,64 bit Windows 11,LPDDR4X,4GB,SSD,128GB,20990
ASUS,Windows 11,DDR4,16GB,SSD,1TB,150990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,39990
HP,64 bit Windows 11,DDR4,8GB,HDD,1TB,41490
DELL,Windows 11,DDR5,16GB,SSD,1TB,206581
ASUS,Windows 11,DDR4,8GB,SSD,512GB,59990
acer,64 bit Windows 11,DDR4,16GB,SSD,512GB,62990
ASUS,64 bit Windows 11,DDR5,16GB,SSD,1TB,194990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,44990
ASUS,64 bit Windows 11,DDR5,16GB,SSD,1TB,194990
ASUS,Windows 10,DDR4,8GB,HDD,1TB,62990
RedmiBook,Windows 11,DDR4,8GB,SSD,512GB,39990
ASUS,Windows 11,DDR5,16GB,SSD,1TB,196990
Lenovo,64 bit Windows 10,DDR4,8GB,SSD,512GB,61990
ASUS,Windows 11,DDR5,16GB,SSD,1TB,105990
acer,64 bit Windows 11,DDR5,16GB,SSD,1TB,155490
Ultimus,Windows 11,LPDDR4,4GB,SSD,128GB,19990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,38705
ASUS,Windows 11,DDR4,16GB,SSD,1TB,85990
Lenovo,64 bit Windows 10,DDR4,4GB,HDD,1TB,33499
Infinix,64 bit Windows 11,LPDDR4X,8GB,SSD,512GB,42990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,35590
ASUS,Windows 11,DDR4,16GB,SSD,1TB,150990
HP,64 bit Windows 11,DDR4,8GB,SSD,512GB,63990
acer,64 bit Windows 11,DDR4,16GB,SSD,1TB,124990
ASUS,64GB EMMC,DDR4,4GB,,,21990
Lenovo,64 bit Windows 10,DDR4,4GB,SSD,256GB,30100
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,256GB,36990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,39990
HP,64 bit Windows 11,DDR5,32GB,SSD,1TB,199990
acer,64 bit Windows 11,DDR4,8GB,HDD,1TB,61130
ASUS,64 bit Windows 11,DDR5,16GB,SSD,1TB,194990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,44990
Lenovo,Windows 11,DDR4,8GB,HDD,1TB,40990
ASUS,64 bit Windows 10,DDR4,8GB,SSD,1TB,75990
HP,64 bit Windows 11,DDR4,8GB,SSD,512GB,46890
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,256GB,37390
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,256GB,36990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,39990
Lenovo,64 bit Windows 11,DDR4,16GB,SSD,512GB,68490
ASUS,64GB EMMC,DDR4,4GB,,,19990
RedmiBook,Windows 11,DDR4,8GB,SSD,512GB,39990
ASUS,Windows 11,DDR5,16GB,SSD,1TB,196990
ASUS,Windows 11,DDR4,16GB,SSD,512GB,89990
DELL,Windows 11,DDR4,8GB,SSD,512GB,59790
MSI,64 bit Windows 11,DDR4,16GB,SSD,1TB,125990
ASUS,64 bit Windows 11,DDR5,32GB,SSD,2TB,249990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,38705
ASUS,Windows 11,DDR4,16GB,SSD,1TB,85990
ASUS,64 bit Windows 11,DDR5,16GB,SSD,1TB,149990
DELL,64 bit Windows 11,DDR4,8GB,SSD,256GB,36990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,35590
ASUS,Windows 11,DDR4,16GB,SSD,1TB,150990
ASUS,64 bit Windows 10,DDR4,16GB,SSD,512GB,85990
HP,64 bit Windows 10,DDR4,8GB,SSD,512GB,60990
DELL,64 bit Windows 11,DDR5,8GB,SSD,512GB,87900
Lenovo,64 bit Windows 10,DDR4,4GB,HDD,1TB,27490
DELL,64 bit Windows 11,DDR4,8GB,SSD,256GB,36990
ASUS,64 bit Windows 11,DDR5,32GB,SSD,2TB,249990
ASUS,64 bit Windows 11,DDR5,16GB,SSD,1TB,149990
RedmiBook,Windows 11,DDR4,8GB,SSD,512GB,39990
HP,64 bit Windows 11,DDR4,8GB,HDD,1TB,28999
DELL,64 bit Windows 11,DDR5,8GB,SSD,512GB,87900
acer,Windows 10,DDR4,16GB,HDD,1TB,117990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,38705
ASUS,64 bit Windows 10,DDR4,16GB,SSD,512GB,85990
DELL,64 bit Windows 11,DDR4,8GB,HDD,1TB,61497
HP,64 bit Windows 11,DDR4,8GB,SSD,512GB,70400
ASUS,Windows 11,DDR5,16GB,SSD,1TB,196990
Lenovo,Windows 10,DDR4,16GB,SSD,512GB,69000
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,64490
ASUS,64 bit Windows 11,DDR5,16GB,SSD,1TB,149990
ASUS,Windows 11,DDR4,16GB,SSD,1TB,85990
HP,64 bit Windows 11,DDR5,8GB,SSD,512GB,96579
DELL,64 bit Windows 11,DDR4,16GB,SSD,512GB,101990
ASUS,Windows 11,DDR4,16GB,SSD,512GB,89990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,35590
HP,64 bit Windows 11,DDR5,8GB,SSD,512GB,94990
MSI,64 bit Windows 11,DDR5,32GB,SSD,2TB,314990
DELL,Windows 11,DDR4,8GB,HDD,1TB,46900
ASUS,Windows 11,DDR4,16GB,SSD,1TB,150990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,256GB,36990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,39990
ASUS,64 bit Windows 11,DDR5,32GB,SSD,2TB,331990
DELL,64 bit Windows 11,DDR5,16GB,SSD,1TB,116490
HP,Windows 10,DDR4,8GB,SSD,512GB,64590
DELL,64 bit Windows 11,DDR5,16GB,SSD,1TB,137990
RedmiBook,Windows 11,DDR4,8GB,SSD,512GB,39990
ASUS,Windows 11,DDR5,16GB,SSD,1TB,196990
DELL,64 bit Windows 10,DDR4,8GB,SSD,512GB,55690
Lenovo,64 bit Windows 10,DDR4,16GB,SSD,512GB,109990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,38705
ASUS,Windows 11,DDR4,16GB,SSD,1TB,85990
ASUS,Windows 10,DDR4,8GB,HDD,1TB,79990
ASUS,64 bit Windows 11,DDR4,16GB,SSD,1TB,130500
ASUS,64 bit Windows 11,DDR5,32GB,SSD,2TB,361990
ASUS,Windows 11,DDR5,16GB,SSD,1TB,211990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,35590
ASUS,Windows 11,DDR4,16GB,SSD,1TB,150990
DELL,64 bit Windows 10,DDR4,4GB,SSD,256GB,39890
MSI,64 bit Windows 11,DDR4,16GB,SSD,1TB,139990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,73490
ASUS,64 bit Windows 11,DDR5,16GB,SSD,1TB,194990
MSI,64 bit Windows 10,DDR4,16GB,HDD,1TB,99990
HP,64 bit Windows 10,DDR4,16GB,SSD,512GB,66700
DELL,64 bit Windows 10,DDR4,8GB,HDD,1TB,68990
DELL,64 bit Windows 11,DDR4,32GB,SSD,1TB,434830
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,256GB,36990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,39990
ALIENWARE,64 bit Windows 10,DDR4,32GB,SSD,1TB,345390
HP,64 bit Windows 11,DDR4,16GB,SSD,512GB,105822
RedmiBook,Windows 11,DDR4,8GB,SSD,512GB,39990
ASUS,Windows 11,DDR5,16GB,SSD,1TB,196990
Lenovo,128GB EMMC,LPDDR4X,4GB,,,28490
Lenovo,64 bit Windows 10,DDR4,16GB,SSD,512GB,66990
acer,64 bit Windows 11,DDR4,8GB,SSD,512GB,86999
ASUS,64 bit Windows 10,DDR4,8GB,SSD,256GB,36990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,38705
ASUS,Windows 11,DDR4,16GB,SSD,1TB,85990
Lenovo,64 bit Windows 11,DDR4,4GB,SSD,256GB,23250
DELL,64 bit Windows 10,DDR4,8GB,SSD,256GB,42390
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,35590
ASUS,Windows 11,DDR4,16GB,SSD,1TB,150990
Lenovo,64 bit Windows 10,DDR4,8GB,SSD,512GB,58990
ASUS,64 bit Windows 10,DDR4,16GB,SSD,1TB,110990
acer,64 bit Windows 10,DDR4,8GB,HDD,1TB,74590
DELL,64 bit Windows 11,DDR4,8GB,SSD,512GB,71990
ASUS,64 bit Windows 11,DDR5,16GB,SSD,1TB,194990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,44990
Lenovo,64 bit Windows 10,DDR4,16GB,SSD,512GB,84990
ASUS,Windows 11,LPDDR5,16GB,SSD,1TB,119990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,256GB,36990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,39990
MSI,64 bit Windows 10,DDR4,32GB,SSD,1TB,214990
MSI,64 bit Windows 10,DDR4,8GB,SSD,512GB,48790
DELL,64 bit Windows 11,DDR4,16GB,SSD,512GB,76000
ASUS,64 bit Windows 10,LPDDR4X,32GB,SSD,1TB,224990
RedmiBook,Windows 11,DDR4,8GB,SSD,512GB,39990
ASUS,Windows 11,DDR5,16GB,SSD,1TB,196990
Infinix,64 bit Windows 11,LPDDR4X,8GB,SSD,512GB,49990
ASUS,64 bit Windows 11,LPDDR5,16GB,SSD,512GB,164990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,38705
ASUS,Windows 11,DDR4,16GB,SSD,1TB,85990
HP,64 bit Windows 11,DDR4,8GB,SSD,256GB,31490
DELL,64 bit Windows 11,DDR4,8GB,SSD,512GB,48077
ASUS,Windows 10,DDR4,16GB,SSD,1TB,154990
ASUS,64 bit Windows 10,DDR4,32GB,SSD,1TB,224990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,35590
ASUS,Windows 11,DDR4,16GB,SSD,1TB,150990
ASUS,64 bit Windows 10,DDR4,8GB,HDD,1TB,44990
ASUS,64 bit Windows 10,DDR4,8GB,SSD,512GB,65990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,73490
ASUS,64 bit Windows 11,DDR5,16GB,SSD,1TB,194990
ASUS,64 bit Windows 10,DDR4,8GB,HDD,1TB,31990
Lenovo,Windows 10,DDR4,8GB,SSD,256GB,38980
HP,64 bit Windows 10,DDR4,8GB,SSD,512GB,68990
DELL,64 bit Windows 10,DDR4,8GB,SSD,256GB,43090
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,39990
RedmiBook,Windows 11,DDR4,8GB,SSD,512GB,39990
ASUS,Windows 10,DDR4,16GB,SSD,1TB,154990
ASUS,64 bit Windows 10,DDR4,8GB,SSD,512GB,65990
ASUS,Windows 11,DDR5,16GB,SSD,1TB,196990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,38705
DELL,64 bit Windows 11,DDR4,8GB,SSD,512GB,49348
DELL,64 bit Windows 11,DDR5,16GB,SSD,512GB,221774
Lenovo,64 bit Windows 10,DDR4,8GB,SSD,512GB,73990
DELL,64 bit Windows 11,DDR4,16GB,SSD,512GB,77990
ASUS,Windows 11,DDR4,16GB,SSD,1TB,85990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,35590
ALIENWARE,64 bit Windows 10,DDR4,16GB,SSD,1TB,214790
ALIENWARE,64 bit Windows 10,DDR4,16GB,SSD,512GB,199990
ASUS,Windows 11,DDR4,16GB,SSD,1TB,150990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,256GB,36990
DELL,64 bit Windows 11,DDR4,8GB,SSD,512GB,48077
DELL,64 bit Windows 11,DDR4,8GB,SSD,512GB,52414
ASUS,64 bit Windows 11,DDR5,16GB,SSD,1TB,179990
ASUS,64GB EMMC,LPDDR4,4GB,,,25990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,256GB,36990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,39990
DELL,64 bit Windows 11,DDR4,16GB,SSD,512GB,80615
ASUS,64 bit Windows 11,DDR5,16GB,SSD,1TB,155990
RedmiBook,Windows 11,DDR4,8GB,SSD,512GB,39990
ASUS,Windows 11,DDR5,16GB,SSD,1TB,196990
Infinix,64 bit Windows 11,LPDDR4X,16GB,SSD,512GB,49990
Lenovo,64 bit Windows 11,DDR4,16GB,SSD,1TB,157990
ASUS,Windows 11,DDR5,16GB,SSD,512GB,92990
ASUS,64 bit Windows 11,DDR5,16GB,SSD,1TB,171990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,38705
ASUS,Windows 11,DDR4,16GB,SSD,1TB,85990
ASUS,64 bit Windows 10,DDR4,8GB,HDD,1TB,44990
ASUS,Windows 11,LPDDR5,16GB,SSD,1TB,151990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,35590
ASUS,Windows 11,DDR4,16GB,SSD,1TB,150990
ASUS,64 bit Windows 10,LPDDR3,16GB,SSD,2TB,233990
DELL,64 bit Windows 11,DDR5,16GB,SSD,512GB,76590
HP,64 bit Windows 10,DDR4,16GB,SSD,512GB,90000
ASUS,64GB EMMC,LPDDR4,4GB,,,23490
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,73490
ASUS,64 bit Windows 11,DDR5,16GB,SSD,1TB,194990
ASUS,64 bit Windows 11,LPDDR5,16GB,SSD,512GB,125990
Lenovo,64 bit Windows 10,DDR4,8GB,HDD,1TB,50990
