Brand,Operating System,RAM Type,RAM Size,Disc Type,Disc Size,MRP
HP,64 bit Windows 11,DDR4,8GB,SSD,512GB,41890
DELL,64 bit Windows 11,DDR4,8GB,SSD,256GB,30428
acer,64 bit Windows 11,DDR4,8GB,SSD,512GB,34990
Lenovo,64GB EMMC,DDR4,4GB,,,19490
Lenovo,64 bit Windows 11,DDR4,4GB,SSD,256GB,29990
APPLE,MMac OS,DDR4,8GB,SSD,256GB,88990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,256GB,36990
MSI,64 bit Windows 10,DDR4,8GB,SSD,512GB,65990
ASUS,64 bit Windows 11,DDR4,8GB,SSD,512GB,33490
HP,64 bit Windows 11,DDR4,16GB,SSD,512GB,60990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,39990
HP,64 bit Windows 11,DDR4,8GB,SSD,512GB,46990
ASUS,64 bit Windows 11,DDR4,16GB,SSD,512GB,59990
MSI,64 bit Windows 10,DDR4,16GB,SSD,1TB,114990
RedmiBook,Windows 11,DDR4,8GB,SSD,512GB,39990
ASUS,Windows 10,DDR4,16GB,SSD,1TB,119990
Infinix,64 bit Windows 11,LPDDR4X,8GB,SSD,512GB,42990
ASUS,64 bit Windows 11,LPDDR5,16GB,SSD,512GB,89990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,38705
MSI,64 bit Windows 11,DDR4,8GB,SSD,512GB,79990
ASUS,Windows 11,DDR4,8GB,SSD,1TB,70990
Lenovo,Windows 11,DDR4,8GB,SSD,256GB,33900
ASUS,Windows 11,DDR5,16GB,SSD,1TB,196990
realme,64 bit Windows 10,DDR4,8GB,SSD,512GB,59990
Infinix,64 bit Windows 11,LPDDR4X,16GB,SSD,512GB,52990
APPLE,MMac OS,DDR4,16GB,SSD,512GB,124990
ASUS,Windows 11,DDR4,16GB,SSD,1TB,85990
RedmiBook,Windows 11,DDR4,8GB,SSD,256GB,31990
acer,Windows 11,DDR4,16GB,SSD,512GB,66990
DELL,64 bit Windows 11,DDR4,16GB,SSD,512GB,89081
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,256GB,36990
APPLE,MMac OS,DDR4,8GB,SSD,512GB,104990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,53490
ASUS,64 bit Windows 11,LPDDR4X,8GB,SSD,256GB,45990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,39990
ASUS,64 bit Windows 11,DDR4,8GB,SSD,512GB,45990
MSI,64 bit Windows 11,DDR4,8GB,SSD,512GB,51990
HP,64 bit Windows 11,DDR4,16GB,SSD,512GB,75990
RedmiBook,Windows 11,DDR4,8GB,SSD,512GB,39990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,256GB,36990
HP,64 bit Windows 11,DDR4,16GB,SSD,512GB,78800
HP,64 bit Windows 11,DDR4,8GB,SSD,512GB,29390
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,38705
Infinix,64 bit Windows 11,LPDDR4X,8GB,SSD,256GB,30990
Lenovo,64 bit Windows 11,DDR4,16GB,SSD,512GB,62490
ASUS,64 bit Windows 11,DDR4,16GB,SSD,512GB,89990
ASUS,Windows 11,DDR5,16GB,SSD,1TB,196990
HP,64 bit Windows 11,DDR4,8GB,SSD,512GB,58899
MSI,64 bit Windows 11,DDR4,16GB,SSD,512GB,85990
DELL,64 bit Windows 11,DDR4,8GB,HDD,1TB,33099
ASUS,Windows 11,DDR4,16GB,SSD,1TB,85990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,73490
Lenovo,64 bit Windows 11,DDR4,8GB,HDD,1TB,63490
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,256GB,36990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,39990
ASUS,32 bit Windows 11,DDR4,8GB,SSD,512GB,38990
HP,64 bit Windows 11,DDR4,8GB,SSD,512GB,67990
RedmiBook,Windows 11,DDR4,8GB,SSD,512GB,39990
ASUS,Windows 11,DDR5,16GB,SSD,1TB,196990
HP,64 bit Windows 11,DDR4,8GB,SSD,512GB,39790
APPLE,MMac OS,Unified,16GB,SSD,1TB,241990
